,No.,Time,Source,Destination,Protocol,Length,Info
259,260,62.622306,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x69e6 A clients2.google.com
260,261,63.627617,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x69e6 A clients2.google.com
261,262,65.622056,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x69e6 A clients2.google.com
262,263,67.701877,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xe6e6 A teredo.ipv6.microsoft.com
263,264,68.699923,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xe6e6 A teredo.ipv6.microsoft.com
264,265,69.623981,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x69e6 A clients2.google.com
265,266,69.70097,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xe6e6 A teredo.ipv6.microsoft.com
266,267,71.701829,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xe6e6 A teredo.ipv6.microsoft.com
267,268,73.703542,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x04c8 A clients2.google.com
268,269,74.685331,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x04c8 A clients2.google.com
269,270,75.690525,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x04c8 A clients2.google.com
270,271,75.70596,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xe6e6 A teredo.ipv6.microsoft.com
271,272,77.684569,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x04c8 A clients2.google.com
272,273,81.684918,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x04c8 A clients2.google.com
273,274,85.722383,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x4559 A clients2.google.com
